title,movie_type,date
怦然心动,剧情／喜剧／爱情,2010-07-26
狄仁杰之四大天王,动作／悬疑／奇幻／武侠／古装,2018-07-27
速度与激情6,动作／惊悚／犯罪,2013-07-26
世界最大的影视城: 横店影视城,纪录片,2007-09-01
罗小黑战记,动画／动作／奇幻,2019-09-07
“大”人物,动作／犯罪,2019-01-10
何以为家,剧情,2019-04-29
无双,动作／惊悚／犯罪,2018-09-30
末日崩塌,动作／冒险／灾难,2015-06-02
寄生虫,,2019-05-21
冰海陷落,,2018-10-19
看不见的客人,犯罪／悬疑／惊悚,2017-09-15
新世纪福音战士：真人版,,2019-06-21
我的爸爸是森林之王Ⅱ,,
电影 Smile 光之美少女! 儿童图画书里的世界都不协调！,,2012-10-27
胖子行动队,喜剧／动作,2018-09-30
正义联盟,动作／冒险／科幻,2017-11-17
风中有朵雨做的云,剧情／悬疑／犯罪,2019-04-04
人再囧途之泰囧,喜剧,2012-12-12
王牌特工2：黄金圈,动作／冒险／喜剧,2017-10-20
惊奇队长,动作／冒险／科幻,2019-03-08
封神传奇,动作／奇幻／古装,2016-07-29
鬼话怪谈·祥云寺,,2017-02-24
盗爱空间之私人电影,,2016-05-10
乐高蜘蛛侠：缠人的毒液,动作／动画／短片,2019-08-03
平凡老爸,,
悲伤逆流成河,剧情／爱情／家庭,2018-09-21
熊出没之雪岭熊风,动画／喜剧／冒险,2015-01-30
神奇女侠,动作／冒险／奇幻,2017-06-02
美丽人生,战争／剧情／爱情,2020-01-03
蝙蝠侠大战超人：正义黎明,动作／科幻／奇幻,2016-03-25
西游记女儿国,喜剧／爱情／动作,2018-02-16
大话西游之大圣娶亲,喜剧／爱情／奇幻／古装,2014-10-24
老千2：神之手,剧情／犯罪,2014-09-03
变身特工,喜剧／动作／科幻／动画／冒险,2020-01-03
肖申克的救赎,剧情／犯罪,1994-09-10
命运之夜 无限剑制 Sunny Day,动画,2015-10-07
摔跤吧！爸爸,喜剧／动作／家庭,2017-05-05
扫毒,剧情／犯罪,2013-11-29
第一滴血5：最后的血,动作／冒险／惊悚,2019-09-20
环太平洋,动作／科幻／冒险,2013-07-31
功夫,喜剧／动作／犯罪,2004-12-23
同人哆啦A梦：大雄的喜马拉雅行进记,,2018-05-24
地久天长,剧情,2019-03-22
野性的呼唤：育空的狗,冒险,1997-04-01
变形金刚4：绝迹重生,动作／科幻,2014-06-27
猛禽小队和哈莉·奎茵,动作／犯罪／冒险,2020-02-05
哥斯拉,动作／科幻／冒险／灾难,2014-06-13
爵迹,奇幻／动作／冒险,2016-09-30
小花仙大电影：奇迹少女,,
星球大战：最后的绝地武士,动作／冒险／科幻,2018-01-05
大话西游之月光宝盒,喜剧／爱情／奇幻／古装,2014-10-24
X战警：黑凤凰,动作／冒险／科幻,2019-06-06
若能与你共乘海浪之上,奇幻／爱情／动画,2019-12-07
危城,剧情／动作／犯罪,2016-08-12
大黄蜂,动作／冒险／科幻,2019-01-04
我想吃掉你的胰脏,剧情／爱情／动画,2019-01-18
海市蜃楼,悬疑／科幻／爱情,2019-03-28
碟中谍6：全面瓦解,动作／惊悚／冒险,2018-08-31
名侦探柯南 十年后的陌生人,动画,2009-06-17
僵尸世界大战,动作／科幻／恐怖,2013-06-02
命运之夜——天之杯：恶兆之花,剧情／动画／悬疑,2019-01-11
狐踪谍影,,2020-01-10
最伟大的美国恐怖片,恐怖／犯罪,2004-10
叶问3,动作／历史／传记,2016-03-04
巨齿鲨,动作／冒险／科幻,2018-08-10
勇敢者游戏2：再战巅峰,动作／冒险,2019-12-06
调音师,悬疑／犯罪／喜剧,2019-04-03
受益人,喜剧／爱情／犯罪,2019-11-08
扫毒3,,2019
自杀小队,动作／犯罪／奇幻,2016-08-01
霸王别姬,剧情／爱情,1993-07-26
决战中途岛,剧情／历史／战争,2019-11-08
加勒比海盗4：惊涛怪浪,动作／奇幻／冒险,2011-05-20
我的爸爸是森林之王,喜剧／动画,2017-10-14
犯罪现场,犯罪／悬疑／剧情,2019-10-12
疯狂进化人,喜剧／动画,2015-08
隐形人,科幻／惊悚／恐怖,2020-02-28
灰猎犬号,,2020-06-12
漫威影业：宇宙集结,纪录片,2014-03-18
捉妖记2,喜剧／奇幻,2018-02-16
长江七号,喜剧／奇幻／家庭,2008-01-30
名侦探柯南OVA11：来自伦敦的秘密指令,,2011-06-01
只有芸知道,剧情／爱情,2019-12-20
缝纫机乐队,剧情／喜剧／音乐,2017-09-29
海上钢琴师,剧情／爱情／音乐,2019-11-15
变形金刚,动作／科幻／惊悚,2007-07-11
倩女幽魂,奇幻／惊悚／古装,2011-04-19
非凡任务,剧情／动作／犯罪,2017-03-31
京剧猫：霸王折,,2019
寂静之地,剧情／恐怖／惊悚,2018-05-18
卢旺达饭店,剧情／历史／战争,2004-09-11
熊出没·奇幻空间,动画／冒险,2017-01-28
蜘蛛侠：迷失复仇者,,2015-10-29
头号玩家,动作／冒险／科幻,2018-03-30
驴得水,剧情／喜剧,2016-10-28
牧马人,剧情／爱情,1982
负重前行,剧情／恐怖／悬疑,2017-10-06
儿童电影史话,纪录片,2013-05-17
侏罗纪世界,动作／冒险／科幻,2015-06-10
密室逃生,惊悚／悬疑／犯罪,2019-01-18
画皮2,剧情／爱情／惊悚／奇幻,2012-06-28
变形金刚3,动作／科幻,2011-07-21
全职高手之巅峰荣耀,剧情／动画,2019-08-16
帕克,动作／惊悚／犯罪,2013-01-25
活着,剧情／家庭／历史,1994-05-17
路人女主的养成方法 Fine,,2019-10-26
天上再见,战争／犯罪／剧情／喜剧,2019-04-30
名侦探柯南：零的执行人,动画／动作／悬疑,2018-11-09
生化危机：终章,动作／惊悚／科幻,2017-02-24
长城,剧情／冒险／奇幻,2016-12-16
死侍,喜剧／动作／科幻／冒险,2018-04-15
超凡蜘蛛侠2,动作／冒险／科幻,2014-05-04
魁拔V,,
画皮,剧情／爱情／惊悚／奇幻,2008-09-26
玩具总动员4,喜剧／动画／奇幻,2019-06-21
哥斯拉大战机械哥斯拉,动作／科幻／惊悚／恐怖,2002-11-02
移情大师,,2020-01-01
西游·降魔篇,喜剧／奇幻／冒险,2013-02-10
龙猫,动画／冒险／奇幻／家庭,2018-12-14
暗战,悬疑／恐怖,2019-08-15
请以你的名字呼唤我,剧情／爱情,2017-01-22
钢铁侠,动作／科幻／惊悚／冒险,2008-04-30
